antecedents,consequents
"frozenset({'baking soda', 'vanilla', 'milk'})",frozenset({'flour'})
"frozenset({'vanilla', 'flour', 'milk'})",frozenset({'baking soda'})
"frozenset({'baking soda', 'milk', 'flour'})",frozenset({'vanilla'})
"frozenset({'baking soda', 'milk'})","frozenset({'vanilla', 'flour'})"
"frozenset({'vinegar', 'chicken', 'bay leaf'})",frozenset({'soy sauce'})
"frozenset({'chicken', 'bay leaf', 'soy sauce'})",frozenset({'vinegar'})
"frozenset({'vinegar', 'chicken', 'soy sauce'})",frozenset({'bay leaf'})
"frozenset({'vinegar', 'bay leaf', 'soy sauce'})",frozenset({'pork'})
"frozenset({'vinegar', 'bay leaf', 'pork'})",frozenset({'soy sauce'})
"frozenset({'pork', 'bay leaf', 'soy sauce'})",frozenset({'vinegar'})
"frozenset({'vinegar', 'soy sauce', 'pork'})",frozenset({'bay leaf'})
"frozenset({'tomato', 'bean', 'eggplant'})",frozenset({'okra'})
"frozenset({'tomato', 'okra', 'eggplant'})",frozenset({'bean'})
"frozenset({'okra', 'bean', 'eggplant'})",frozenset({'tomato'})
"frozenset({'tomato', 'bean', 'okra'})",frozenset({'eggplant'})
"frozenset({'bean', 'eggplant'})","frozenset({'tomato', 'okra'})"
"frozenset({'okra', 'eggplant'})","frozenset({'tomato', 'bean'})"
"frozenset({'fish sauce', 'tomato', 'bean'})",frozenset({'okra'})
"frozenset({'tomato', 'bean', 'okra'})",frozenset({'fish sauce'})
"frozenset({'fish sauce', 'bean', 'okra'})",frozenset({'tomato'})
"frozenset({'tomato', 'fish sauce', 'okra'})",frozenset({'bean'})
"frozenset({'bean', 'okra'})","frozenset({'tomato', 'fish sauce'})"
"frozenset({'tomato', 'okra'})","frozenset({'fish sauce', 'bean'})"
"frozenset({'fish sauce', 'okra'})","frozenset({'tomato', 'bean'})"
"frozenset({'tomato', 'bean', 'spinach'})",frozenset({'fish sauce'})
"frozenset({'fish sauce', 'bean', 'spinach'})",frozenset({'tomato'})
"frozenset({'tomato', 'fish sauce', 'spinach'})",frozenset({'bean'})
"frozenset({'bean', 'spinach'})","frozenset({'tomato', 'fish sauce'})"
"frozenset({'radish', 'tomato', 'bean'})",frozenset({'okra'})
"frozenset({'radish', 'tomato', 'okra'})",frozenset({'bean'})
"frozenset({'radish', 'bean', 'okra'})",frozenset({'tomato'})
"frozenset({'tomato', 'bean', 'okra'})",frozenset({'radish'})
"frozenset({'radish', 'tomato'})","frozenset({'bean', 'okra'})"
"frozenset({'radish', 'bean'})","frozenset({'tomato', 'okra'})"
"frozenset({'radish', 'okra'})","frozenset({'tomato', 'bean'})"
frozenset({'radish'}),"frozenset({'tomato', 'bean', 'okra'})"
"frozenset({'tomato', 'bean', 'okra'})",frozenset({'spinach'})
"frozenset({'spinach', 'tomato', 'okra'})",frozenset({'bean'})
"frozenset({'spinach', 'bean', 'okra'})",frozenset({'tomato'})
"frozenset({'tomato', 'bean', 'spinach'})",frozenset({'okra'})
"frozenset({'bean', 'okra'})","frozenset({'tomato', 'spinach'})"
"frozenset({'spinach', 'okra'})","frozenset({'tomato', 'bean'})"
"frozenset({'bean', 'spinach'})","frozenset({'tomato', 'okra'})"
"frozenset({'tamarind', 'tomato', 'bean'})",frozenset({'okra'})
"frozenset({'tamarind', 'tomato', 'okra'})",frozenset({'bean'})
